motif1,motif2,config_pair,strand_pair,spacing,ce_count_target,ce_count_control,p_value,log2_fc,num_configs
Dref,Dref,"('Dref', 'Dref')","('-', '+')",7,24,0,9.336527147597337e-26,37.80424344965489,48
Dref,Dref,"('Dref', 'Dref')","('-', '+')",9,40,0,1.7428095969725182e-42,38.54120904379705,48
Dref,Dref,"('Dref', 'Dref')","('-', '+')",10,8,2,1.7596427301100008e-07,5.321928094346352,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",10,12,0,3.1231903846564095e-13,36.804243449715,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",9,24,2,2.531392505747156e-23,6.906890594947283,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",8,4,0,6.817734541945425e-05,35.219280949234296,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",7,16,0,2.098507853633355e-17,37.21928094896379,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",6,10,2,2.1136556597585394e-09,5.643856189197646,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",5,12,0,3.1231903846564095e-13,36.804243449715,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",4,40,0,1.7428095969725182e-42,38.54120904379705,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",3,24,0,9.336527147597337e-26,37.80424344965489,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",2,6,0,5.619148126570874e-07,35.804243449835226,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",1,24,0,9.336527147597337e-26,37.80424344965489,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",0,34,0,3.300589474987044e-36,38.306743790166394,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",-1,12,2,2.3868211524803992e-11,5.906890595007395,48
Dref,Dref,"('Dref', 'Dref')","('-', '-')",-2,14,0,2.561643975686056e-15,37.02663587103428,48
